sentiment,txt
0,لاسف البعض يعتقد ان المفاعل النوي سيحل مشاكلنا الاقتصاديه ولكن الاردن لا يمتلك موارد ماليه وهذا يعني الحاجه لشريك اجنبي كما اعلنت هيءه الطاقه يملك غالبيه الاسهم كما في تركيا علي سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الاكبر من المفاعل ولن يكون ملك لاردن وبالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء لمستثمر وبالتالي المفاعل النوي لن يوفر لك الكهرباء بسعر قليل  
1,﻿صح لسانك  
0, ما اسخفك  
0,﻿العاهات الي عندهم ياناس روح موتو ابرك لكم  
0, ليش هيك معجبين علي الاردني  
1,التفاءل حلو في الحياه بس الاهم تكون عايش مع ناس متفاءلين مش تكون لحالك المتفاءل  
0,لا لمفاعل داخل الاردن  
1,اله اكبر ما احلاكم وما اشجعكم  
1,﻿اتحزن فان اله يدافع عنك ، والملاءكه تستغفر لك ، و المءمنون يشركونك في دعاءهم كل صلاه ،و النبي صلي اله عليه و سلم يشفع ، و القران يعدك وعدا حسنا ،و فوق هذا رحمه ارحم الراحمين  
0,﻿الي موافق عالمفاعل يبنيه جنب داره ما يسطح الواحد غير المتحذلقين الي يخلوا حالهم مثل ابو العريف ما حد يفهم غيرهم رابع افقر دوله في العالم في المياه و تبني مفاعل نوي استنوا لما يطورو مفاعلات نويه صحراويه و بعدين اشطحوا  
1,يا رب اجعلنا من الصالحين  
1,بارك اله فيك يانوسه وجعلها في ميزان حسناتك  
1,اسال اله عزوجل له الثبات  
1,﻿فعلا البت جده لما تحتاج ليه هو الانسان الصادق و هو البستاهل تضحي عشان  
1,بدعي علي طول بان اله يرزقني الخشوع  
0,لبرنامج التافه الي يسمح لهذا الشي  
1,الهم اكفني بحلالك عن حرامك واغني بفضلك عمن سواك  
0, والغناء تجد لك ١٠ مليون وكلهم زباله  
0, بس الحكام ماعندهم ذوق لاسف  
0,﻿لهم خذهم اخد عزيز مقتدر فانهم لا يرحموا الضعفاء الهم سلط عليهم عذابك فانهم ارونا الويلات   
1,الهم اهدنا صراطك المستقيم  
0,يع يع يع اله يقرفه وهذي يلي﻿ تقول حمضيات وش دراه عمره ذايقه طعمه  
0, تفه عليك وع شكلك ، اول ما نشهرت طلقت زوجها ، خنزيره  
1,﻿انا كل يوم اقول غدا سوف اصلي لكن لا اقدر و انا ادعوا اله داءما ان يهديني ارجو من من يملك حل مراسلتي  
0, فعلا فضايح ما توقعتها في شبابنا المتخلف اخلاقيا وصوتيا وبدنيا اها وعقليا بالتاكيد  
1,روعه الاشياء تبقي رواءحها بقي اصحابها ام انصرفوا  
1,كل شء في حب اله تهون وحب ربنا اقوي بكتير من اي حاجه  
1,﻿اله اكبر و ما من دابتن الا علي اله رزقه  
1,﻿الهم اغفر لي ما لا يعلمون و اجعلني خيرا ما يظنون  
1,لا طبعا التقرب الي اله هو خير علاج لحالات النفسيه  
0, فاشلفاشلهبرنامج فاشل  
1,ونعمباله ارحم الراحمين وانيس المستوحشين  
0,﻿ تقول داخله فيها ترله انحولت مع الاغنيه  
0,﻿لا هديله بالشوز زي الصعيدي الي يكرمه الي ضربه بالشبشب ناقصه حراميه  
1,نسال اله تعالي ان تكون بحق ارحنا بها يا بلال و ليس ارحنا منه  
1,اله ياريت يبقي في اخلاق كده في الوقت ده  
0,﻿ عاهات  
0,لاسف البعض يعتقد ان المفاعل النوي سيحل مشاكلنا الاقتصاديه ولكن الاردن لا يمتلك موارد ماليه وهذا يعني الحاجه لشريك اجنبي كما اعلنت هيءه الطاقه يملك غالبيه الاسهم كما في تركيا علي سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الاكبر من المفاعل ولن يكون ملك لاردن وبالتالي ستقوم الحكومه ايضا بدفع تكاليف الكهرباء لمستثمر وبالتالي المفاعل النوي لن يوفر لك الكهرباء بسعر قليل  
1,الهم كما حسنت خلقنا حسن اخلاقنا  
0,﻿و اذا فادنا بشي رح يكون في خساره كبيره بالاخر  
0,﻿احنا ما بدنا اياه لانا ما منفهم المفاعل النوي فوق طاقتنا صعب علينا و بكره بذكركم و سالوا الباص السريع الثقه معدومه القمح فاسد المصفاه مش حسب المواصفات الخضار و الفواكه مواد كيماويه شوارع مش مصانه حفر و مطبات الخ الافضل استغلال الطاقه الشمسيه او الريح او الماء ليس هروب من التطور و انما الابتعاد عن الفشل الاكيد عبر التجارب  
0, الظاهر انه جاين يستهبلون عالحكام بس  
0, هما بس الي بيسعوا لغناء ده طبعا غير الاشتغالات والافلام الهندي الي احنا شفنها  
0,﻿ من الي ضاحك عليهم انو اصواتهم حلوه  
0,﻿عمدا فيهم ما نستعمل التدفءه و نلبس فروه  
1,اله غلي المسلمين في توادهم وتراحمهم  
0,﻿ و بعرف حكايات مليانه عاهات مثلكم و مجانين يا صيدات جورج وسوف  
0,من اين لنا المياه لتبريد المفاعل النوي فهو يحتاج الي نصف مليون مترا مكعبا من المياه لتبريده سنويا علي الاقل والقاصي والداني يعرف انا في بلد يعاني من شحه المياه اما كعلوم ومعرفه بالعلوم النويه والطاقه فانا احب ان يتعلمها المتعلمين في بلادنا بدءا من جدول مندليف لعناصر مرورا ب العناصر المشعه ونظريه اينشتاين لطاقه ونظريات الفيزياء الكميه والبحث في عمر البروتون والنيوترينو والكواركات والبتونات وال والنظاءر المشعه وتفتيت الذره واشعه جاما وبيتا والفا والراديوم والبلوتونيوم والبروتونات وكافه النظريات بما فيها انواع المفاعلات النويه وتجارب الام فيها مثل اليابان والمانيا وروسيا وفرنسا وامريكا ولعلم فقط انها علوم نظريا سهله وبسيطه ويستطيع فهمها حتي الانسان ذو الخلفيه والرغبه العلميه وعلي جميع او علي الاقل جزء من علماءنا ان يقروا المسار الذي يجب ان نسلكه ونسير فيه بهذا الخصوص بموازنه المخاطر والمكاسب وبعدها وعلي اساس النتيجه والفاءده الواضحه يتم الاعتماد لقرارهم ان كان سلبا ام ايجابا  
1, معك حق  
0,مش حلو  
0,﻿ما اثقل دمك و ما اغباك  
1,كرامتي افضل من سعادتي  
1,الاسلام ليس فيه رهبانيه  
0, ليش يعني اخترت انه مصيره في فتح يا تافه وفي المءتمر السادس كمان يا ابن الكلب  
1, معلومه متازه  
0,الدول المتقدمه الان تجه لستخدام الطاقه المتجده لانها اقل كلفه وليس لها مخاطر علي البيءه والانسان ونحن الان نعاني من ضاءقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدي حاجه المفاعل لمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النوي الاسراءيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد  
1,ربنا يتوب علينا من المعاصي  
1,ونعم باله عزوجل  
1,﻿احلي شيء النهايه الباقيه صح كلامك  
1,نعم الوقت يمر بسرعه  
0, لا واله ماهم الي مسخره انا الي مسخره الي تفرجت عليهم  
0,﻿ اي واله سوبر  
0, وش يحسون فيه ناس مهبل  
0,الهم ارفع ظغط فايز الطراونه  
0, العرب مو بتاع هي الشغلات لاكن احنا فاشلين اله معطينا كل متطلبات التحظر والتطور لاكن احنا لازقين بهلتفاهات ونضن انو هي التحظر  
0, سخافات وتخلف شباب وصبايا هل الايام  
0,عنجد انو باله  
0, اله يلعن امك وش ها القرف  
1,ما الزه شكله بشهي بدي  
1,﻿الهم لا اعتراض علي حكمك و ارزقنا انت خير الرازقين  
1,﻿نسمات انتعاش الفجر رحمات يظفر بها اهل النور التام الذين توسعت صدورهم بانشراح جماعه الفجر و حيويه صبح يتنفس منتشيا و مرحبا بكل مبادر لخير  
0, الباقين سخافه سماجه  
0,﻿لو يبطلو سرقه بهالخزينه و اله الشعب ليعيش و لكو ارحمونا حرام عليكم  
1,احمدك ربي علي كل ما اعطيت وعلي كل ما منعت  
0,اجل اسقاط حكومه طروانه  
0,﻿ طول عمري بخاف من العوب وسيره العوب  
0,﻿و اله انكو ما بتخافو اله  
1,اله يكثر الافراح  
0,﻿ وش هالتحف واله مساكين ماكلين مقلب بقوه  
1,الحمد له علي نعمه الاسلام وكفي يها نعمه  
0,المره الجايه راح يكون الرفع لميه اذا استمر الخلط  
1,﻿صباح الرحمه و البركات ان شاء اله  
1,قصه راءعه ياريت كل الرجال هيك  
0, مالك دين مثل الكلاب الضاله و الا اقولك مثل مومسات و عاهرات المراقص عندكن  
1,صباح الاماني الجميله المحقه باذن اله  
0,تنظرون لا الشام يقتلون بدم بارد  
0, واله انك فشلت العرب  
0,﻿ الظاهر اهلها مفقعين وجها قبل ما تجي ومغطيه الفلعات  
0, سماجه تايم  
1,كل الاحترام  
0, اشاعه  
1,فوق من الي انت فيه ربك دايما جمبك لو ناديتو هتلاقيه جايز ده اختبار ركز فالاجابه وقول يارب وخد قرار   
0,ما ازنخ منك الي هاي الروابط الي بتسم البدن بتعب يعني لما توخد الصوره وتنزلها تنزيل عادي  
0, سخافه  
0, سبحان اله الزلمات ثافهون  
0, يا ثقل دمه الاصلع  
0,﻿قرف  
0, شباب صايع مو ملاقي ياكل و مخه فاضي و متخلف عقليا  
1,ماخاب من دعا الي اله  
0,طيب ليه السخريه دي ماكنا كويسين  
0,﻿قرف يقرفك  
1,قمه البلاغه  
1,عظيم هو اسلامنا،  
0, حرام واله حزنت عليه شو هالموقف الشنع  
0, ملعوب عليهم  
1,دربي زدني ثقتا بك فانه لايخيب من وثق بك  
0,شو هالمنشور الوسخ  
1,الهم اصلح لنا حالنا  
1,كﻻمك كله راءع بجد ربنا يكرمك  
1,ايوه هيك بدنا ياكم يا شباب مش بس لعب وتسلايه  
0,هبل  
1,﻿الهم ارضنا بما قسمته لنا  
0, مين معو دوا لصراصير جد لازمهم رش مبيد حشري لقضاء علي هيك حالات متخلفه  
0,اله لا يشبعكو يا ظلمه انشاء اله كلو بتلقو بالاخره يا ظلمه خافو اله طبعا اذا بتعرفو ل اله  
0, ما يستحون و هم جاين لو انا منهم اروح اقشر بصل  
0, حسبي اله عليكم اله بحاسبكم علي كل حد بينفتن بسلبكم اله لا يسامحكم  
1,﻿الهم اصلح سري و علانيتي  
1,تماما الهم لا تحرمنا الصدق في الكلام  
1,ربنا يحمي الاسلام والمسلمين  
0, شو هل الاهبل  
1,﻿حلوه قوي يا دعمرو و لو كل واحد تيقن من هذه القصه لن يوجد حاسد و لا ظالم و لا متواكل الهم ارزقنا رزقا حلال طيبا الهم امين  
0,﻿و اله و اله و اله يا نسور رح نزل الشارع وقف الموضوع قبل فوات الاوان  
0,يع بتقرف انت وسخ  
0,ايوه بالصرمه عراسه  
0,﻿فعلا الطاقه الشمسيه هي البديل و ليست النويه لان حتي الدول المتقدمه صارت تخلص من النوي و تجه لطاقه البديله و خصوصا احنا الاردن بلد مشمس عالطول السنه و الكلفه ما اتوقع اكثر من الطاقه النويه  
0, مين بشار العاه هاد الي بهد، اي عند الجد واله لنساء والبنات تطلعن قبل الرجال في هالحاله ونلعن ابو الساعه الي طلعت بشار وغيره شو هالحكي، الاردن قوي بجيشه وقاءده فعلا هزلت قال سوريا قال ولا النعامه او رقبه عاليه بدها قص  
0,﻿ متسم فكره الولد وصارت حالته صعبه ياحنين انت  
0, يخرب بيتك ما ازنخك  
0,ملاحظه الكبسه ما بتكهرب واله  
0, وربي عاهات مستعصيه  
1,الهم اصلح نفوسنا لما يرضيك عنها  
1,﻿الهم اجعل لنا ايمانا صادقا و قلبا خاشعا و علما نافعا  
0,كلامك في غايه الجديه صحيح  
1,الهم احفظني  
1,واله الرساله دي جاتلي في وقتها قولت اكيد ربنا بعتهالي الحمد له وخات القرار  
1,الهم نسالك السلامه من مثل هذه الخيبه  
1,قول يا اله ده عنك مش بعيد متشلش هم ولا تشعر بضيق اقول ياله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق  
1,﻿ما ارحمك يا ربي بخلقك سبحانك يا حبيبي يا اله  
0, تافهين  
1,﻿فعلا في البدايه كلهم راءعون  
1, الحل الوحيد هو القرب من اله وذكره الا بذكر اله تطمءن القلوب قال اله تعالي  
1,﻿الهم انا نعوذ بك من غضبك و نسالك رضاك  
0, شو هيدا دلع اخر زمن  
0, الرابع سكران  
0, المغرب براء منك علي الاقل اذا كنت لهجتنا صعبه فتكلم بالغه العربيه  
0, اما الغبي الي يقلد جورج وسوف  
1,يارب اهدنا وقوي عزيمتا الي ما تحب وترضي  
0, محشين خ  
1,﻿الهم حسنا و حسن اعمالنا ظاهرا و باطنا و لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين  
0,فاشله  
1,حلمي ان اكون مثل سوشي  
1,طيب اله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان ومتاز محل  
1,﻿صباح ملوء بالخير لجميع المسلمين يا رب  
0,الك يوم يا ظالم  
1,الهم لا تجعل لحب الدنيا سلطانا علي قلبي بل اجعل حبك في قلبي سلطانا  
0, سوبر حمار  
1,ازعج شي الكذب  
0,﻿لنفترض جدلا ان لا اضرار صحيه و بيءيه سينتج عن بناء مفاعلات نويه سلميه ، دعونا نفكر في الكلفه من حيث اولا كلفه بناء عاليه جدا لعدم امتلاكنا لهذه التكنولوجيا علي شكل ديون تثفل كاهل العشر اجيال القادمه، ثانيا لنفس السب سنستورد خبراء لتشغيل لسنوات طويله ما يزيد كلفه الطاقه و ليس العكس ناهيك عن حصول اي اخطاء مفترضه مستقبلا ثالثا اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافيه لتبريد رابعامن حق المواطنين و اصحاب القرار الحصول علي تقرير منشور لاثر البيءي مسبقا بنفس الوقت نستطيع الحصول علي نفس كميه الطاقه من الصخر الزيتي الذي نمتلك منه احتياطي هاءل و من الغاز الطبيعي المءمل مستقبلا و من الطاقه الشمسيه و من طاقه الرياح بكلف نسبيا اقل بكثير من النوي دون اعباء ديون اضافيه  
1,صباح النور و السرور  
1,﻿ بوركت جهودك و سلمت اناملك  
0,ما اجمل من مثل هذا الحب الصادق الشفا  
1, اي صح و حاليا فاقده الاثنين  
1,كن انت ذلك الشخص   
1,﻿دعواتك لنا يا شيخ سلمان بالتوفيق و الفلاح و الظفر و حسن الخاتمه  
0,اكيد لا في عندك ناس بتفهم وفي ناس عند الاجانب ما بتفهم  
0, الثاني رايح فيها  
1,اهم اشي اكون مبسوط  
1,يا رب اعني ع اتخاذ القرار  
1,صدقت يا استاذ عمر  
0, يعني عدوله الي ابصر من وين جاي كيف وصل عشان تشوفه لجنه التحكيم مبين عليه مجنون و مش شايف اشي قدامه  
0,ذبحتونا  
0,ويحطمو رءوسهم بارجلهم  
1,وسط لا يوجد تركيز  
0, عاهاتك يا وطن  
1,صباح العسل  
0, دلوع  
0, ناس مطفره من الاخر  
1,﻿الشكر له اولا ثم ل دعمر خالد كان سب ف ارتد الحجاب  
0,مش طبيعي  
0,الكلب حده﻿ روعه  
0,﻿ مهزله ياعيب الشوم  
0, يا خساره عليكو يا شباب المستقبل  
0, وهابي تاج راسك يا الي تاكل من وراك و اذا في الوهابيه شء مخالف لكتاب اله و سنه نبيه اذكره و لا تكون كالبغاء ترد خلف الناعقين لتثبت انك علي الصراط و انت في هوه الخراب و طنت من طنوت سوريا  
1,دعوه اخاك بظهر الغيب لا ترد  
0,انتو كلاب ازي تسو المصحف بي كلابه زي ده  
1,﻿يا رب يتقبل منا و اله العقل مو فاضي و القلب مكسور  
0, اخيه ماسخفها تقلد  
1,﻿نهارك طيب و مبروك  
1,فدمك عود مع عنبر  
1,﻿ان شاء اله يتقبل اله صلاتنا و يزيد في صلاتنا الخشوع  
0, ما عندهم هو قله احترام لمشتركين وفله ادب تجاه المشاهدين  
1,اله يكتر من امثالك يارب  
0,﻿ تضحك كانها مفجوعه من شيء  
0, مقرف جدا هذا الشخص  
0, زمان المطربين الي غنو لهم المعاتيه دول ولعو في مقابرهم وبيعيطو بدل الدموع دم علي تراثهم الي راح  
1,مقال راءع واله يهدي بناتنا يارب ويرجعهم لصواب  
1,الهم القلوب الضاله  
0, اما وهابيتك فحدث ولا حرج الناس يقادون الي المساجد غصبا ويجلدون كالابقار ان هم ابوا  
1,طبعا واقع  
0,اله يلعنو  
0,﻿الي لازم يصير اضراب جميع موظفي الدواءر الحكوميه و الخاصه لمده اسبوع و شوف بعدها  
0, يلعن ابو الاشكال بس  
0,﻿مهو اصلا زي مشروع الباص السريع يلي استملكو عشانه شارع المحطه كاملا و لساتنه منسمع عنو ما شفنا  
1,نفسي يوم اكل وانا مش مستعجله  
0,ه مهيه خربانه ان شاء اله يعملو مفاعل قرد بطلت تفرق  
0,لا شو انا مسخره كلكو خنازير  
0,اله ينتقم منهم اجمعين الي في بالي  
0,يلي مكتوب علي الجبين بتشوفوا العين يعني اذا ناوين علي النوي ما راح يفيد المليون توقيع مو الف توقيع مع الاحترام الشديد  
1,الهم ان كان لي عوض علي صبري  
0, ليش محشورين علي بعض كذا خلصت الطاولات مالقو الا ه الطاوله الخايسه  
0, استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز  
0,﻿ذا مرتك بتعمل هيك يا ادمن لا تفكر كل الرجال مثلك تفي عليك  
1,طبعا محدش يقدر بس سبحان اله فيه ناس عايشين من غير مياه  
0,﻿انا مش مسءول عن الحراميه يتفنجرو بمصاري البلد و انا اشحد  
1,نستجير باله  
0, ولو هو انسان وعنده احاسيس مكن من هالموقف الي الكل يشوفه يتعقد هالانسان من حياته كلها  
0,لهالدرجه في متخلفين في الوطن العربي  
1,اخرج اهل سوريا من الضيق الي الفرج  
1,ونشوف اغلي الاحبه في الروضه الرحيبه  
0, بس الي قاهرني الي ما ينطقون حرف الراءالتغمن جدهم جاين يبون يغنون  
1,تبارك الرحمن الهم زد فينا وبارك لنا يارحم الرحمين  
0,واله ذا الادمي معاق  
0,﻿حسبنا اله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الاردني فهم غير ساءلين عن الشعب يبحثون عن مناصب وزاريه و رواتب خياليه بينما المواطن الاردني طفح الكيل معه و اصبح لا يطيق الحياه  
1,صدقت واله انت تريد وانا اريد واله يفعل ما يريد  
1,شكرا دكتور فكلماتك لها بالغ الاثر في نفوسنا  
0,نعم مصر عايزه راجل مش واحد وسخ بيقرف  
0,خراي علي احسن علوي ومحب لهاجحش خربت سوريه ياكلب  
0,وش يحسون فيه﻿ يع  
1,الهم سد خطاه وجعل الاسلام نور لكل البشر  
1,﻿بسمه امل امس كانت محتاجه توضيح اكتر لان بعض الناس خلطت بينها و بين الواسطه  
0,﻿ يا اخي وين ما تروح بالاردن تخطي مناطق الشخصيات المهمه بالبلد و الباقي كله مكره صحيه  
1,ياي ما ازكاه هاد الاكل  
1,الهم انزع من قلبي حب كل شيء لا تحبه  
0,انا مع الاخ محمد سلامه بهالموضوع   
0, الثالث لاتعليق  
0, الهم اجعلني داءما مظلوم  
1,﻿كلمات راءعه و حلوه و لا احلي ان يكونو في النهايه راءعون  
1,ان اله هو الرزاق دو القوه المتين  
0, البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل  
1,﻿اي و اله صحيح اهم شي الانسان كرامته  
1,﻿انشاء اله نكون راضين بقضاء اله و لكنا نرجو من اله الطف فيه  
1,﻿و رزقك خير هذا اليوم  
1,يارب اعنا علي ترك المعاصي ماحينا  
1,كلامك جميل وراءع  
0, اكاديمي الي خلفت عاهات لفن المعاق حاليا فيزيدون الطين بله  
0, تبا لكم  
0,﻿اله يكون في عون الفقير و الطبقه المتوسط سوف تنحدر اكثر و اكثر  
1,يا هيك الاكل يا بلا لش الحكي  
1,﻿كثر اله من امثالك و زادك اله علم  
1,يا مقلب القلوب والابصار ثبت قلبي علي دينك  
1,من كانت له عزيمه لن ياس ، ومن ابتغي الاجر من اله ثابر، حياكم اله اخي مءمن  
1,اتمني ان يواسينا العرب بمصابنا  
1,برك اله فيك وجعلاهاء في مزان حسناتيك  
0,اغبياء  
1,الهم اعنا علي ذكرك وشكرك وحسن عبادتك  
1,ﺻﻠﻲ ﻋﻠﺸﺎﻥ ﻏﻴﺮﻙ ﻧﻔﺴﻪ ﻳﻘﻮﻡ ﻣﻦ ﻗﺒﺮﻩ ﻳﺼﻠﻲ   
1,﻿لك كلك ذوق و حكمه  
0,هلا كفت عن قسوتك  
1,صباحك جمال و روعه  
0,﻿و اله حرام و اله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا اله ارحمو من في الارض يرحمكم من في السماء و اله حرام  
0, سخيف مره يمسخرون الواحد ومافي شي يضحك اصلا  
1,فما اجمل هذا الدين  
0,﻿ مجانين احد يضحك عليك وانتم قدامه وتكمل  
1,يا رب ارزقنا الفرح والسعاده  
1,كلمات حلو  
0,له يحرق قلبك يبشار  
1,افعال لا تحتاج الي اقوال  
0, لا يعني الغبي يدري انه كاتب اسمها بالورقهمايبيلها ذكاء تري  
1,صدقت  
1,ربنا يقويكي علي اخد القرار الصح واحسني الظن باله وتوكلي عليه وربنا يقويكي علي ضعفك يارب ويعدك عن الغلط ده  
0, فاشلين الي ما لا نهايه  
1,يا هيك الشباب يا بلاش  
1,راءعين يا مصرين  
1,ان اله موجود  
0,﻿الطاقه الشمسيه هي البديل و ليست النويه  
0,لما اجد فيها الا الجراح  
0,﻿وانا بس شكلها هاي مو مدرسه  
0, يا اخي اطلع في صورتك بالمرايه وشوف اداءك هوه اداء فنيصوت مناسب قبل لا تفضح حالك في هيك برامج تافه  
0, هنا نجد اصحاب السوء يحضرون بقوه لان ها هولاء لم يحظروالي بعد تشجيع من اناس حولهم  
1,اهلا بك في دين الحق والسلام  
1,ما سال له الهادي الخالق  
0, قصدك اخر ما توصل اليه العقل البشري من تفاهات  
1,هكذا المسلمون  
1,الحمد له اصبح علي وجهك المشرق كل يوم  
0, لجنه حكم ماعندها ذره احترام  
0, شكلك احول موب حوله  
1,﻿و طمانينه صباح ٱلامل بٱله و ٱلثقه  
1,صباح الوجه الصبوح  
1,ربنا يشفيهم  
0, حرام عليك كانو بقره بتولد  
1,اله يتم افراح الجميع يا رب  
0, تاثير الغرب مبين علي العرب المجانين  
0, هي فلسطين راحت من قليل يا ولاد المخنثه لعنه اله عليكم فظحتونا  
1,﻿الهم ارزقنا من خيري الدنيا و الاخره و ارزقنا حسن الخاتمه و ارزقنا الفردوس الاعلي مع من نحب و ارزقنا لذه النظر الي وجهك الكريم  
1,اسل اله ان يستجيب دعاءكم  
0, صوتها عجيب  
1,﻿الاخلاص الهم انا نسالك الاخلاص في القول و العمل و السر و العلن  
1,﻿الهم انصر المسلمين و المسلمات في كل مكان  
1,الثقه باله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه  
0,﻿ وانت اسكت لا تحطم  
1,﻿سبحانك ربنا الواحد الاحد لا شريك لك تحي و تميت و انت علي كل شيء قدير و صلي اله و سلم علي نبينا محمد و علي اله و صحبه اجمعين  
0, واضح جدا ان اغلب الناس هاي عندها مشاكل نفسيه  
1,صحيح الابتسامه لها تعابير كثيره  
1,قصه جميله تعلم الناس كمان الامانه لان اذا اخذ القليل اخذا الكثير  
1,﻿ما اجمل الصبر و الاصرار  
0, مايستحون  
0,﻿ مين الي ضاحك عليهم وقايل ان اصواتهم حلوه  
0,﻿ عاهات الهم لاشماته  
1,﻿اله يسعدك و يبعد عنك كل شر  
0, ثكلتك امك  
0, علي فكره المعلقين هدول ولاد حرام  
1,فعلا اله يجزيك كل الخير دكتور واله يثبتنا علي دينا  
0, ابو الشباب راعي العود ليش ماوزنه في البيت غباء  
1,ان الدين عند اله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط الهم اهدي غير المسلمين الي دين الاسلام  
1,ياتيك بالارزاق من حيث لا تدري  
1,﻿يا رب رضينا و امنا و صدقنا فارضينا برضاك عنا و اجبر كسر قلوبنا و هون علينا  
1,الهم ارزقنا الصحبه الصالحه  
0,﻿دلوعه جدا مايا﻿  
0, معتيه واضح انهم يمثلون  
0, بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب علي هالصبح  
1,﻿الهم ثبتنا علي قيام اليل في رمضان  
0,حبيبي شرلبوني يموت ب شرلبونا و انا مدريدي﻿ لكن ماني مغير لعيونه  
0,﻿ يا فضيحتك يا لبنان بهيك عالم اما هيدا سكت اني ولك دخيل اله خليك ساكت  
0,انت واحد عنجد قليل ادب اله يموت الي امثالك  
1,يارب ناخذ القرار الصح  
1,الهم اروقني من يواسيني في الدنيا والاخر  
0, وربي كلبتي جات جلست عندي اول ما فتحت هالفيديو ويوم خلص التفت لها الا والاقيها نايمه  
1,ياريت حدا عم يواسي السورين بغربتهن لاسف باب رزق جديد لعرب  
0,﻿اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان  
1,الهم اجعلنا منهم وارزقنا الطاقه ولاراده لزلك ياربي  
0, هذا عدا عن عنصريتكم البغيضه وجلافتكم وعنجهيتكم الفارغه مع بقيه الشعوب  
0, حركه ارحمينا اله يشيلك اقول كيف اخوكي وابوكي راضين عنك اف عندك ايزي  
0,﻿منكو له احنا لاقين حق الخبز لحتي ترفعو البنزين صار الواحد يحب يخلص دراسه عشان ما يضل بلاردن لانو ما فيها اشي لا رواتب و لا اشي جد بلد مش فقير بس كلو بوكل كلو و اله ما بنلوم الحراميه ع هيك بلد  
1,طريق واحد عدم اليءس هو طريق النجاح  
1,يارب كون معاي وانو من ترك شيءا له عوضه اله خيرا منها في الدنيا قبل الاخره جربو وحتشوفوا بعينكم الي حيحصل  
1,الدين المعامله  
1,﻿سبحان اله و بحمده عد خلقه و رضي نفسه و زنه عرشه و مداد كلماته  
1,بجد موضوع راءع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن  
1,امين يا رب انت شاب زي الفل ما شاء اله عليك  
1,﻿مثال جميل جدا عبره لكل من يحمل رساله الاسلام  
0,اله يوخذكم  
1,تركنا الحرام من اجل ربنا حبيبنا واله سيعوضنا خيرا  
1,هاكدا هو دين المحبه الصحيح بس لاسف الكثيرين يتبنوه حسب ما يشتهون  
1,ربي يهديهن  
0,﻿ حلوه عدوله احس انه يفطر حشيش  
1,صباح الود  
0, فيروسات بشريه  
1,ان شاء اله وربنا يعينا  
0,﻿سدءناك يا كذاب  
0,والمصحف عاهات  
1,﻿ليتنا نستطيع الابتسامه في الاوقات المءلمه  
1,قصه في منتهي الروعه  
1,يارب اغفر لي ذنبي وارزقني حبك هوربنا مكن يكره حد لو فضل يكر ذنبه بعد الاستغفار  
1,﻿تفاءلوا بالخير تجدوه و اعملوا الصالحات  
0,﻿اي تقدم اي ازدهار مفاعل النويه بعمل الامراض كثير اهم السرطان اله يبعده عنها و انا معهم رفض المفاعل النويه  
1,ربي ينعم علينا بنعمه الخشوع  
1, انا احب هذا الكاتب  
0,﻿معظم اصحاب محطات الوقود و وكالات الغاز متنفذين لقد زاد الغني غني و الفقير فقر  
1,﻿الهم ارزقنا الصدق و الاخلاص  
1,فوق من الي انت فيه ربك دايما جنبك  
0,﻿ كسم العته البشري  
0,بدكو تخلونا نشحد  
0,نادرا ما بتصير لو انه الشعب بتطور وبيتعلم مع الوقت  
1,يارب اهدي بنات وشباب المسلمين الي ما يرضيك عنهم وكفيهم شر فتن الدنيا والاخره  
1,واله الكل نعمه كبيره  
0, لجنه تافه  
0,اله علي الظالمين  
1,سلمت يمناك كلام من ذهب  
0,اوقف القرار لحفاظ علي الوطن  
0,﻿ اخ يا غبي  
0, ليش تضحكو مش حلو  
0,هات ناس تفهم والمثل بحكي اسال مجرب ولا تسال خبير  
0,اوخص وش هالمناشف  
0,هعهعهع مش حلو  
